ID	Name	CookTime	Serves	Group	Description
	Pot O'Gold Soup	40	6	Dinner;Homestyle;Soup	
	Broccoli Cheese Soup	45	8	Dinner;Homestyle;Soup	
	Mac & Cheese Soup	60	4	Dinner;Homestyle;Soup	
	Mac & Cheese Soup (Family Size)	60	6	Dinner;Homestyle;Soup	
	Taco Soup	120	6	Dinner;Mexican;Soup	
	Taco Braid	45	4	Dinner;Mexican	
	Ham & Potato Casserole	45	6	Casserole;Dinner	
	Brocolli Rice Casserole	30	6	Casserole;Dinner	
	Buttermilk Chess Pie	45	8	Dessert;Pie	
	Buttermilk Pancakes	30	8	Breakfast;Homestyle	
	Mrs. Holbrook's Chocolate Chip Cookies	30	16	Dessert;Cookie	
	Spritz Cookies	60	30	Dessert;Cookie	
	Momo's Chicken and Dumplings	60	10	Dinner;Homestyle;Soup	
